Phase	Elements	method	oldorder	neworder	rowmode	esteps	asteps	err
30950	60	selection	reverse	forward	single	1770	1770	0.00
30951	30	swap	forward	random	single	77	68	0.12
30952	30	selection	random	forward	single	206	188	0.09
30953	30	random	forward	revfwd	single	225	225	0.00
30954	10	selection	revfwd	fwdrev	single	25	25	0.00
30955	10	insertion	fwdrev	reverse	single	25	25	0.00
30956	10	quick	reverse	fwdrev	single	12	11	0.09
30957	20	triple	fwdrev	revfwd	zipper	19	19	0.00
30958	20	triple	revfwd	forward	zipper	14	14	0.00
30959	20	merge	forward	fwdrev	zipper	19	20	0.05
30960	20	dinsertion	fwdrev	reverse	zipper	80	80	0.00
30961	20	selection	reverse	revfwd	zipper	80	80	0.00
30962	10	quick	revfwd	fwdrev	single	14	13	0.07
30963	10	random	fwdrev	forward	single	20	20	0.00
30964	20	evenodd	forward	revfwd	zipper	19	19	0.00
30965	20	evenodd	revfwd	reverse	zipper	18	18	0.00
30966	10	merge	reverse	fwdrev	single	5	6	0.18
30967	30	random	fwdrev	random	single	205	227	0.10
30968	30	merge	random	interleave	single	33	32	0.03
30969	30	quick	interleave	reverse	single	48	45	0.06
30970	60	dinsertion	revfwd	fwdrev	rightleft	870	870	0.00
30971	120	swap	fwdrev	revfwd	rightleft	560	575	0.03
30972	40	swap	revfwd	fwdrev	rightleft	126	116	0.08
30973	120	swap	fwdrev	revfwd	rightleft	560	531	0.05
30974	120	random	revfwd	fwdrev	rightleft	3540	3540	0.00
30975	360	evenodd	fwdrev	revfwd	rightleft	359	359	0.00
30976	360	quick	revfwd	fwdrev	rightleft	506	483	0.05
30977	720	insertion	fwdrev	revfwd	rightleft	129240	129240	0.00
30978	720	merge	reverse	revfwd	zipper	712	722	0.01
30979	720	random	revfwd	reverse	zipper	128880	128880	0.00
30980	360	dinsertion	reverse	forward	single	64620	64620	0.00
30981	360	selection	forward	reverse	single	64620	64620	0.00
30982	360	quick	reverse	forward	single	538	538	0.00
30983	720	swap	fwdrev	revfwd	rightleft	5255	5263	0.00
30984	720	dinsertion	revfwd	fwdrev	rightleft	129240	129240	0.00
30985	720	evenodd	fwdrev	revfwd	rightleft	719	719	0.00
30986	360	merge	reverse	forward	single	360	359	0.00
30987	720	evenodd	forward	reverse	zipper	720	720	0.00
30988	720	triple	reverse	revfwd	zipper	480	480	0.00
30989	720	dinsertion	revfwd	reverse	zipper	128880	128880	0.00
30990	720	evenodd	reverse	fwdrev	zipper	719	719	0.00
30991	360	merge	fwdrev	forward	zipper	358	358	0.00
30992	360	selection	forward	fwdrev	zipper	32040	32040	0.00
30993	180	random	fwdrev	revfwd	zipper	7920	7920	0.00
30994	180	selection	revfwd	fwdrev	zipper	7920	7920	0.00
30995	180	quick	fwdrev	forward	zipper	255	248	0.03
30996	180	triple	forward	revfwd	zipper	121	120	0.01
30997	60	triple	revfwd	fwdrev	zipper	59	59	0.00
30998	60	dinsertion	fwdrev	reverse	zipper	840	840	0.00
30999	60	insertion	reverse	fwdrev	zipper	840	840	0.00
31000	30	merge	fwdrev	interleave	single	28	27	0.04
31001	30	swap	interleave	reverse	single	73	75	0.03
31002	60	evenodd	revfwd	fwdrev	rightleft	59	59	0.00
31003	60	swap	fwdrev	revfwd	rightleft	220	224	0.02
31004	20	merge	revfwd	fwdrev	rightleft	10	10	0.00
31005	20	evenodd	fwdrev	revfwd	rightleft	19	19	0.00
31006	20	dinsertion	revfwd	fwdrev	rightleft	90	90	0.00
31007	20	merge	fwdrev	revfwd	rightleft	10	10	0.00
31008	20	triple	revfwd	fwdrev	rightleft	19	19	0.00
31009	20	triple	fwdrev	revfwd	rightleft	19	19	0.00
31010	20	quick	revfwd	fwdrev	rightleft	24	23	0.04
31011	20	evenodd	forward	revfwd	zipper	19	19	0.00
31012	20	merge	revfwd	forward	zipper	19	19	0.00
31013	20	selection	forward	fwdrev	zipper	80	80	0.00
31014	40	random	fwdrev	forward	zipper	360	360	0.00
31015	40	swap	forward	reverse	zipper	99	101	0.02
31016	120	selection	reverse	forward	zipper	6960	6960	0.00
31017	120	insertion	forward	reverse	zipper	6960	6960	0.00
31018	60	dinsertion	reverse	forward	zipper	1680	1680	0.00
31019	20	merge	forward	revfwd	zipper	10	11	0.10
31020	20	evenodd	revfwd	reverse	zipper	18	18	0.00
31021	20	swap	reverse	revfwd	zipper	29	37	0.24
31022	40	evenodd	revfwd	fwdrev	zipper	39	39	0.00
31023	40	evenodd	fwdrev	forward	zipper	38	38	0.00
31024	80	selection	forward	fwdrev	zipper	1520	1520	0.00
31025	80	random	fwdrev	reverse	zipper	1520	1520	0.00
31026	80	merge	reverse	forward	zipper	79	79	0.00
31027	40	selection	forward	fwdrev	single	380	380	0.00
31028	20	evenodd	fwdrev	forward	single	18	18	0.00
31029	20	triple	forward	random	single	11	12	0.09
31030	20	merge	random	revfwd	single	20	22	0.10
31031	20	quick	revfwd	fwdrev	single	32	32	0.00
31032	20	random	fwdrev	interleave	single	90	90	0.00
31033	20	swap	interleave	fwdrev	single	40	48	0.18
31034	40	insertion	fwdrev	reverse	zipper	360	360	0.00
31035	40	swap	revfwd	fwdrev	rightleft	126	126	0.00
31036	40	evenodd	forward	revfwd	zipper	39	39	0.00
31037	120	swap	revfwd	reverse	zipper	384	399	0.04
31038	120	selection	revfwd	fwdrev	rightleft	3540	3540	0.00
31039	60	random	fwdrev	revfwd	rightleft	870	870	0.00
31040	60	swap	revfwd	fwdrev	rightleft	221	218	0.01
31041	60	insertion	fwdrev	revfwd	rightleft	870	870	0.00
31042	60	selection	revfwd	fwdrev	rightleft	870	870	0.00
31043	60	selection	fwdrev	revfwd	rightleft	870	870	0.00
31044	60	selection	revfwd	fwdrev	rightleft	870	870	0.00
31045	20	selection	fwdrev	revfwd	rightleft	90	90	0.00
31046	10	merge	revfwd	fwdrev	rightleft	5	5	0.00
31047	10	swap	fwdrev	revfwd	rightleft	14	15	0.07
31048	10	dinsertion	revfwd	fwdrev	rightleft	20	20	0.00
31049	5	triple	forward	revfwd	single	4	3	0.29
31050	5	evenodd	revfwd	fwdrev	single	4	3	0.29
31051	10	swap	fwdrev	revfwd	single	15	17	0.12
31052	10	triple	revfwd	forward	single	7	7	0.00
31053	10	merge	forward	reverse	single	9	9	0.00
31054	30	selection	reverse	fwdrev	single	225	225	0.00
31055	30	selection	fwdrev	reverse	single	225	225	0.00
31056	10	swap	reverse	interleave	single	15	19	0.24
31057	10	evenodd	interleave	revfwd	single	7	7	0.00
31058	10	triple	revfwd	reverse	single	6	7	0.15
31059	10	selection	reverse	interleave	single	25	25	0.00
31060	10	merge	interleave	forward	single	8	10	0.22
31061	30	evenodd	forward	revfwd	single	29	29	0.00
31062	60	triple	revfwd	interleave	single	36	37	0.03
31063	60	merge	interleave	revfwd	single	62	63	0.02
31064	60	swap	revfwd	reverse	single	200	208	0.04
31065	20	quick	reverse	revfwd	single	27	26	0.04
31066	40	swap	revfwd	forward	zipper	77	75	0.03
31067	40	quick	fwdrev	revfwd	rightleft	53	51	0.04
31068	40	evenodd	revfwd	fwdrev	rightleft	39	39	0.00
31069	40	quick	forward	fwdrev	zipper	56	62	0.10
31070	80	insertion	fwdrev	reverse	zipper	1520	1520	0.00
31071	40	dinsertion	reverse	fwdrev	single	400	400	0.00
31072	40	selection	fwdrev	interleave	single	380	380	0.00
31073	40	triple	interleave	forward	single	27	26	0.04
31074	20	insertion	forward	fwdrev	single	90	90	0.00
31075	10	triple	fwdrev	revfwd	single	9	9	0.00
31076	10	quick	revfwd	interleave	single	12	13	0.08
31077	10	insertion	interleave	revfwd	single	20	21	0.05
31078	5	random	revfwd	forward	single	6	6	0.00
31079	10	random	fwdrev	revfwd	rightleft	20	20	0.00
31080	30	random	revfwd	fwdrev	rightleft	210	210	0.00
31081	90	quick	fwdrev	revfwd	rightleft	122	117	0.04
31082	45	triple	reverse	fwdrev	single	30	30	0.00
31083	45	evenodd	fwdrev	random	single	40	41	0.02
31084	45	triple	random	reverse	single	25	27	0.08
31085	45	swap	reverse	revfwd	single	134	128	0.05
31086	45	insertion	revfwd	fwdrev	single	506	484	0.04
31087	45	random	fwdrev	reverse	single	506	506	0.00
31088	45	random	reverse	random	single	495	509	0.03
31089	45	evenodd	random	forward	single	39	41	0.05
31090	90	triple	fwdrev	revfwd	rightleft	89	89	0.00
31091	90	quick	revfwd	fwdrev	rightleft	122	117	0.04
31092	90	random	fwdrev	revfwd	rightleft	1980	1980	0.00
31093	180	merge	revfwd	fwdrev	rightleft	90	90	0.00
31094	180	random	fwdrev	revfwd	rightleft	8010	8010	0.00
31095	90	random	reverse	interleave	single	2025	2025	0.00
31096	90	swap	interleave	random	single	372	343	0.08
31097	90	triple	random	revfwd	single	51	49	0.04
31098	180	evenodd	revfwd	random	single	188	175	0.07
31099	180	triple	random	revfwd	single	99	91	0.08
31100	90	merge	revfwd	reverse	single	89	88	0.01
31101	90	triple	reverse	interleave	single	62	60	0.03
31102	90	insertion	interleave	forward	single	1980	1980	0.00
31103	180	evenodd	forward	reverse	single	180	180	0.00
