Method	Old	New	Count	Trend	Avg	Err
swap	revfwd	forward	29	NlogN	0.49	0.60
swap	fwdrev	forward	25	NlogN	0.49	0.49
swap	reverse	revfwd	24	NlogN	0.51	0.42
swap	forward	fwdrev	26	NlogN	0.52	0.40
swap	forward	revfwd	27	NlogN	0.52	0.34
swap	forward	interleave	12	NlogN	0.53	0.45
swap	random	fwdrev	6	NlogN	0.53	0.34
swap	reverse	fwdrev	26	NlogN	0.54	0.38
swap	interleave	reverse	8	NlogN	0.54	0.21
swap	random	revfwd	3	NlogN	0.55	0.11
swap	fwdrev	interleave	8	NlogN	0.55	0.30
swap	revfwd	random	4	NlogN	0.56	0.27
swap	revfwd	interleave	11	NlogN	0.56	0.32
swap	reverse	forward	22	NlogN	0.56	0.52
swap	reverse	interleave	8	NlogN	0.56	0.09
swap	interleave	forward	8	NlogN	0.56	0.22
swap	interleave	revfwd	8	NlogN	0.57	0.37
swap	forward	random	7	NlogN	0.57	0.25
swap	fwdrev	random	7	NlogN	0.58	0.30
swap	reverse	random	9	NlogN	0.58	0.40
swap	forward	reverse	24	NlogN	0.59	0.60
swap	interleave	random	6	NlogN	0.60	0.17
swap	random	forward	3	NlogN	0.60	0.06
swap	fwdrev	revfwd	83	NlogN	0.63	0.43
swap	revfwd	fwdrev	83	NlogN	0.64	0.38
swap	random	reverse	6	Quadratic	0.07	0.34
swap	interleave	fwdrev	8	Quadratic	0.08	0.48
swap	random	interleave	1	Unknown	3.18	0.00
triple	random	forward	3	Linear	0.53	0.07
triple	interleave	random	5	Linear	0.56	0.24
triple	random	interleave	2	Linear	0.57	0.07
triple	revfwd	random	12	Linear	0.59	0.50
triple	interleave	fwdrev	8	Linear	0.60	0.00
triple	random	reverse	2	Linear	0.60	0.17
triple	random	revfwd	4	Linear	0.60	0.10
triple	fwdrev	random	9	Linear	0.60	0.41
triple	reverse	random	7	Linear	0.61	0.35
triple	forward	random	13	Linear	0.62	0.49
triple	interleave	revfwd	11	Linear	0.63	0.06
triple	fwdrev	interleave	7	Linear	0.63	0.06
triple	revfwd	interleave	7	Linear	0.65	0.12
triple	reverse	revfwd	21	Linear	0.67	0.01
triple	forward	fwdrev	25	Linear	0.68	0.05
triple	interleave	forward	7	Linear	0.68	0.04
triple	fwdrev	forward	22	Linear	0.68	0.04
triple	revfwd	reverse	25	Linear	0.68	0.04
triple	interleave	reverse	2	Linear	0.69	0.04
triple	reverse	interleave	14	Linear	0.69	0.04
triple	forward	interleave	11	Linear	0.69	0.04
triple	forward	revfwd	20	Linear	0.69	0.11
triple	fwdrev	reverse	18	Linear	0.70	0.11
triple	reverse	fwdrev	19	Linear	0.70	0.11
triple	revfwd	forward	27	Linear	0.71	0.11
triple	fwdrev	revfwd	78	Linear	1.00	0.00
triple	revfwd	fwdrev	83	Linear	1.00	0.00
triple	forward	reverse	22	Linear	1.02	0.02
triple	reverse	forward	34	Linear	1.02	0.02
triple	random	fwdrev	1	Unknown	0.60	0.00
